i,05/16/2017 22:33:55,Cosmos,g_pCosmosConfig is NULL,SrcFile="csthreadpoolex.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1652" Pid="8424" Tid="6204" TS="0x01D2CE83BCC2A507" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,05/16/2017 22:33:56,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BD9BB21A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0480 Latency=0 StartedAt=131394404364300826 FinishedAt=131394404364300826"
d,05/16/2017 22:33:56,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BDABE264" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C08A0 Latency=0 StartedAt=131394404365361764 FinishedAt=131394404365361764"
d,05/16/2017 22:33:56,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BDCC7C89" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C08A0 Latency=0 StartedAt=131394404367498377 FinishedAt=131394404367498377"
d,05/16/2017 22:33:57,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BDFCF72F" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C02A0 Latency=0 StartedAt=131394404370675503 FinishedAt=131394404370675503"
d,05/16/2017 22:33:57,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BE317DCA" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C05A0 Latency=0 StartedAt=131394404374117834 FinishedAt=131394404374117834"
d,05/16/2017 22:33:57,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BE6652FE" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0DE0 Latency=0 StartedAt=131394404377580286 FinishedAt=131394404377580286"
d,05/16/2017 22:33:57,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BE76346D" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0420 Latency=0 StartedAt=131394404378621037 FinishedAt=131394404378621037"
d,05/16/2017 22:33:58,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BE8BCFAE" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C05A0 Latency=0 StartedAt=131394404380037038 FinishedAt=131394404380037038"
d,05/16/2017 22:33:58,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BE9A169F" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0C00 Latency=0 StartedAt=131394404380972703 FinishedAt=131394404380972703"
d,05/16/2017 22:33:58,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BECD9F9A" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0420 Latency=0 StartedAt=131394404384350106 FinishedAt=131394404384350106"
d,05/16/2017 22:33:58,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BED913F2" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0180 Latency=0 StartedAt=131394404385100786 FinishedAt=131394404385100786"
d,05/16/2017 22:33:58,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BF011516" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0900 Latency=0 StartedAt=131394404387722518 FinishedAt=131394404387722518"
d,05/16/2017 22:33:59,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BF31B7E1" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0AE0 Latency=0 StartedAt=131394404390909921 FinishedAt=131394404390909921"
d,05/16/2017 22:33:59,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="13360" TS="0x01D2CE83BF385BD4" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0000 Latency=0 StartedAt=131394404391345108 FinishedAt=131394404391345108"
d,05/16/2017 22:33:59,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="15180" TS="0x01D2CE83BF61A9D0" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0240 Latency=0 StartedAt=131394404394052048 FinishedAt=131394404394052048"
d,05/16/2017 22:33:59,CommonDebug,ThreadPoolJobFinish,SrcFile="csthreadpoolex.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="734" Pid="8424" Tid="14368" TS="0x01D2CE83BF6F062C" String1="pThreadPool=000001E17628C220 Class=class AsyncCallbackJob Instance=000001E1762C0360 Latency=0 StartedAt=131394404394927660 FinishedAt=131394404394927660"
